
==== T = 300 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
 120   -21.284128144189   9.805245e-01   1.563985e-01   1.906902e+00  -0.21063  0.21063      0       0 0
 121   -22.206977597346  -9.228495e-01   9.939788e-02   1.210598e+00   0.48420 -0.48420      0       0 0
 122   -22.255442873692  -4.846528e-02   4.216935e-02   5.158172e-01   0.81234 -0.81234      0       0 0
 123   -22.264723591691  -9.280718e-03   1.498565e-02   1.822205e-01   0.90749 -0.90749      0       0 0
 124   -21.284048060424   9.806755e-01   1.564449e-01   1.907474e+00  -0.21083  0.21083      0       0 0
 125   -22.206967670203  -9.229196e-01   9.941099e-02   1.210798e+00   0.48397 -0.48397      0       0 0
 126   -22.255435011966  -4.846734e-02   4.218709e-02   5.160471e-01   0.81283 -0.81283      0       0 0
 127   -22.264782722047  -9.347710e-03   1.489575e-02   1.811211e-01   0.90778 -0.90778      0       0 0
 128   -21.284009589687   9.807731e-01   1.564677e-01   1.907758e+00  -0.21071  0.21071      0       0 0
 129   -22.206988699588  -9.229791e-01   9.939837e-02   1.210684e+00   0.48365 -0.48365      0       0 0
 130   -22.255423262235  -4.843456e-02   4.221230e-02   5.163641e-01   0.81321 -0.81321      0       0 0
 131   -22.264831971273  -9.408709e-03   1.482274e-02   1.802243e-01   0.90784 -0.90784      0       0 0
 132   -21.284002723526   9.808292e-01   1.564726e-01   1.907825e+00  -0.21037  0.21037      0       0 0
 133   -22.207031454899  -9.230287e-01   9.936759e-02   1.210348e+00   0.48327 -0.48327      0       0 0
 134   -22.255408717083  -4.837726e-02   4.224281e-02   5.167423e-01   0.81351 -0.81351      0       0 0
 135   -22.264872786584  -9.464070e-03   1.476337e-02   1.794909e-01   0.90775 -0.90775      0       0 0
 136   -21.284019643391   9.808531e-01   1.564641e-01   1.907727e+00  -0.20988  0.20988      0       0 0
 137   -22.207089015278  -9.230694e-01   9.932433e-02   1.209857e+00   0.48285 -0.48285      0       0 0
 138   -22.255392222938  -4.830321e-02   4.227695e-02   5.171620e-01   0.81375 -0.81375      0       0 0
 139   -22.264906872806  -9.514650e-03   1.471450e-02   1.788834e-01   0.90753 -0.90753      0       0 0
 140   -21.284054432034   9.808524e-01   1.564454e-01   1.907507e+00  -0.20929  0.20929      0       0 0
 141   -22.207156402072  -9.231020e-01   9.927266e-02   1.209262e+00   0.48241 -0.48241      0       0 0
 142   -22.255374483522  -4.821808e-02   4.231335e-02   5.176069e-01   0.81395 -0.81395      0       0 0
 143   -22.264935556787  -9.561073e-03   1.467386e-02   1.783747e-01   0.90721 -0.90721      0       0 0
 144   -21.284102393188   9.808332e-01   1.564193e-01   1.907195e+00  -0.20862  0.20862      0       0 0
 145   -22.207230138403  -9.231277e-01   9.921547e-02   1.208598e+00   0.48195 -0.48195      0       0 0
 146   -22.255356097841  -4.812596e-02   4.235082e-02   5.180634e-01   0.81411 -0.81411      0       0 0
 147   -22.264959684993  -9.603587e-03   1.464000e-02   1.779477e-01   0.90684 -0.90684      0       0 0
 148   -21.284159798924   9.807999e-01   1.563879e-01   1.906818e+00  -0.20792  0.20792      0       0 0
 149   -22.207307565163  -9.231478e-01   9.915494e-02   1.207891e+00   0.48150 -0.48150      0       0 0
 150   -22.255337510080  -4.802994e-02   4.238852e-02   5.185213e-01   0.81425 -0.81425      0       0 0
 151   -22.264980055608  -9.642546e-03   1.461165e-02   1.775872e-01   0.90641 -0.90641      0       0 0
 152   -21.284223831068   9.807562e-01   1.563526e-01   1.906394e+00  -0.20719  0.20719      0       0 0
 153   -22.207386696171  -9.231629e-01   9.909272e-02   1.207162e+00   0.48104 -0.48104      0       0 0
 154   -22.255319045112  -4.793235e-02   4.242582e-02   5.189733e-01   0.81436 -0.81436      0       0 0
 155   -22.264997333794  -9.678289e-03   1.458776e-02   1.772809e-01   0.90596 -0.90596      0       0 0
 156   -21.284292301655   9.807050e-01   1.563148e-01   1.905939e+00  -0.20645  0.20645      0       0 0
 157   -22.207466150287  -9.231738e-01   9.902998e-02   1.206425e+00   0.48060 -0.48060      0       0 0
 158   -22.255300951746  -4.783480e-02   4.246224e-02   5.194140e-01   0.81445 -0.81445      0       0 0
 159   -22.265011963802  -9.711012e-03   1.456766e-02   1.770208e-01   0.90548 -0.90548      0       0 0
 160   -21.284363482420   9.806485e-01   1.562754e-01   1.905464e+00  -0.20571  0.20571      0       0 0
 161   -22.207544917129  -9.231814e-01   9.896755e-02   1.205690e+00   0.48018 -0.48018      0       0 0
 162   -22.255283403110  -4.773849e-02   4.249747e-02   5.198397e-01   0.81453 -0.81453      0       0 0
 163   -22.265024341785  -9.740939e-03   1.455074e-02   1.767997e-01   0.90500 -0.90500      0       0 0
 164   -21.284436074177   9.805883e-01   1.562351e-01   1.904978e+00  -0.20499  0.20499      0       0 0
 165   -22.207622268390  -9.231862e-01   9.890606e-02   1.204964e+00   0.47977 -0.47977      0       0 0
 166   -22.255266511643  -4.764424e-02   4.253130e-02   5.202479e-01   0.81460 -0.81460      0       0 0
 167   -22.265034818614  -9.768307e-03   1.453650e-02   1.766116e-01   0.90451 -0.90451      0       0 0
 168   -21.284509091298   9.805257e-01   1.561945e-01   1.904488e+00  -0.20428  0.20428      0       0 0
 169   -22.207697728879  -9.231886e-01   9.884591e-02   1.204254e+00   0.47938 -0.47938      0       0 0
 170   -22.255250351018  -4.755262e-02   4.256359e-02   5.206373e-01   0.81466 -0.81466      0       0 0
 171   -22.265043646590  -9.793296e-03   1.452456e-02   1.764519e-01   0.90402 -0.90402      0       0 0
 172   -21.284581765926   9.804619e-01   1.561540e-01   1.904000e+00  -0.20358  0.20358      0       0 0
 173   -22.207770979212  -9.231892e-01   9.878738e-02   1.203561e+00   0.47901 -0.47901      0       0 0
 174   -22.255234961485  -4.746398e-02   4.259428e-02   5.210071e-01   0.81471 -0.81471      0       0 0
 175   -22.265051044886  -9.816083e-03   1.451459e-02   1.763169e-01   0.90353 -0.90353      0       0 0
 176   -21.284653527396   9.803975e-01   1.561140e-01   1.903516e+00  -0.20291  0.20291      0       0 0
 177   -22.207841805623  -9.231883e-01   9.873068e-02   1.202890e+00   0.47866 -0.47866      0       0 0
 178   -22.255220356967  -4.737855e-02   4.262336e-02   5.213571e-01   0.81475 -0.81475      0       0 0
 179   -22.265057214501  -9.836858e-03   1.450632e-02   1.762030e-01   0.90306 -0.90306      0       0 0
 180   -21.284723954538   9.803333e-01   1.560747e-01   1.903040e+00  -0.20226  0.20226      0       0 0
 181   -22.207910088575  -9.231861e-01   9.867591e-02   1.202241e+00   0.47833 -0.47833      0       0 0
 182   -22.255206535444  -4.729645e-02   4.265083e-02   5.216876e-01   0.81479 -0.81479      0       0 0
 183   -22.265062311134  -9.855776e-03   1.449953e-02   1.761077e-01   0.90259 -0.90259      0       0 0
 184   -21.284792727221   9.802696e-01   1.560363e-01   1.902575e+00  -0.20164  0.20164      0       0 0
 185   -22.207975766320  -9.231830e-01   9.862313e-02   1.201615e+00   0.47802 -0.47802      0       0 0
 186   -22.255193482580  -4.721772e-02   4.267674e-02   5.219992e-01   0.81482 -0.81482      0       0 0
 187   -22.265066468767  -9.872986e-03   1.449402e-02   1.760287e-01   0.90214 -0.90214      0       0 0
 188   -21.284859614289   9.802069e-01   1.559988e-01   1.902122e+00  -0.20103  0.20103      0       0 0
 189   -22.208038812410  -9.231792e-01   9.857239e-02   1.201012e+00   0.47772 -0.47772      0       0 0
 190   -22.255181174690  -4.714236e-02   4.270113e-02   5.222923e-01   0.81484 -0.81484      0       0 0
 191   -22.265069811881  -9.888637e-03   1.448962e-02   1.759637e-01   0.90170 -0.90170      0       0 0
 192   -21.284924454795   9.801454e-01   1.559625e-01   1.901682e+00  -0.20046  0.20046      0       0 0
 193   -22.208099233425  -9.231748e-01   9.852368e-02   1.200433e+00   0.47745 -0.47745      0       0 0
 194   -22.255169583228  -4.707035e-02   4.272408e-02   5.225680e-01   0.81486 -0.81486      0       0 0
 195   -22.265072443198  -9.902860e-03   1.448619e-02   1.759111e-01   0.90127 -0.90127      0       0 0
 196   -21.284987135165   9.800853e-01   1.559274e-01   1.901257e+00  -0.19990  0.19990      0       0 0
 197   -22.208157057243  -9.231699e-01   9.847701e-02   1.199879e+00   0.47719 -0.47719      0       0 0
 198   -22.255158676569  -4.700162e-02   4.274565e-02   5.228269e-01   0.81488 -0.81488      0       0 0
 199   -22.265074451346  -9.915775e-03   1.448360e-02   1.758693e-01   0.90086 -0.90086      0       0 0
 200   -21.285047582554   9.800269e-01   1.558935e-01   1.900845e+00  -0.19937  0.19937      0       0 0
